Department,Role,Employee Name,Date,Salary
Inforiver,Developer,Arjun,01-01-2024,95000
Inforiver,Developer,Arjun,01-02-2024,96000
Inforiver,Developer,Arjun,01-03-2024,97000
Inforiver,Developer,Arjun,01-04-2024,98000
Inforiver,Developer,Arjun,01-05-2024,99000
Inforiver,Developer,Arjun,01-06-2024,100000
Inforiver,Developer,Arjun,01-07-2024,101000
Inforiver,Developer,Arjun,01-08-2024,102000
Inforiver,Developer,Arjun,01-09-2024,103000
Inforiver,Developer,Arjun,01-10-2024,104000
Inforiver,Developer,Arjun,01-11-2024,105000
Inforiver,Developer,Arjun,01-12-2024,106000
VALQ,Manager,Amit,01-01-2024,105000
VALQ,Manager,Amit,01-02-2024,110000
VALQ,Manager,Amit,01-03-2024,115000
VALQ,Manager,Amit,01-04-2024,120000
VALQ,Manager,Amit,01-05-2024,125000
VALQ,Manager,Amit,01-06-2024,130000
VALQ,Manager,Amit,01-07-2024,135000
VALQ,Manager,Amit,01-08-2024,140000
VALQ,Manager,Amit,01-09-2024,145000
VALQ,Manager,Amit,01-10-2024,150000
VALQ,Manager,Amit,01-11-2024,155000
VALQ,Manager,Amit,01-12-2024,160000
Inforiver,Analyst,Chandra,01-01-2024,95000
Inforiver,Analyst,Chandra,01-02-2024,96000
Inforiver,Analyst,Chandra,01-03-2024,97000
Inforiver,Analyst,Chandra,01-04-2024,98000
Inforiver,Analyst,Chandra,01-05-2024,99000
Inforiver,Analyst,Chandra,01-06-2024,100000
Inforiver,Analyst,Chandra,01-07-2024,101000
Inforiver,Analyst,Chandra,01-08-2024,102000
Inforiver,Analyst,Chandra,01-09-2024,103000
Inforiver,Analyst,Chandra,01-10-2024,104000
Inforiver,Analyst,Chandra,01-11-2024,105000
Inforiver,Analyst,Chandra,01-12-2024,106000
VALQ,Developer,Dev,01-01-2024,135000
VALQ,Developer,Dev,01-02-2024,140000
VALQ,Developer,Dev,01-03-2024,145000
VALQ,Developer,Dev,01-04-2024,150000
VALQ,Developer,Dev,01-05-2024,155000
VALQ,Developer,Dev,01-06-2024,160000
VALQ,Developer,Dev,01-07-2024,165000
VALQ,Developer,Dev,01-08-2024,170000
VALQ,Developer,Dev,01-09-2024,175000
VALQ,Developer,Dev,01-10-2024,180000
VALQ,Developer,Dev,01-11-2024,185000
VALQ,Developer,Dev,01-12-2024,190000
Inforiver,Manager,Ekta,01-01-2024,105000
Inforiver,Manager,Ekta,01-02-2024,110000
Inforiver,Manager,Ekta,01-03-2024,115000
